"1",1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0
"2",1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1
"3",0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1
"4",1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1
"5",0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0
"6",0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0
"7",0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0
"8",0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
"9",0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1
"10",1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0
"11",0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
"12",0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1
"13",1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"14",1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1
"15",1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
"16",0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0
"17",0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1
"18",0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0
"19",1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1
"20",1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
"21",0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
"22",0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1
"23",1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1
"24",0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0
"25",1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0
"26",1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0
"27",1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
"28",1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
"29",0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1
"30",1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0
"31",1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0
"32",0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0
"33",1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0
"34",1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1
"35",0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1
"36",0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0
"37",0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0
"38",1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0
"39",1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1
"40",1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0
"41",0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1
"42",0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0
"43",1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
"44",0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0
"45",0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"46",1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
"47",1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
"48",0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
"49",0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1
"50",0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1
